Time,Close Price,Difference,Return
2015-12-22,"2,037.8900",16.7400,0.8282
2015-12-23,"2,064.2900",26.4000,1.2955
2015-12-24,"2,060.9900",-3.3000,-0.1599
2015-12-28,"2,056.5000",-4.4900,-0.2179
2015-12-29,"2,078.3600",21.8601,1.0630
2015-12-30,"2,063.3600",-15.0000,-0.7217
2015-12-31,"2,043.9400",-19.4202,-0.9412
2016-01-04,"2,012.6600",-31.2799,-1.5304
2016-01-05,"2,016.7100",4.0499,0.2012
2016-01-06,"1,990.2600",-26.4500,-1.3115
2016-01-07,"1,943.0900",-47.1700,-2.3700
2016-01-08,"1,922.0300",-21.0599,-1.0838
2016-01-11,"1,923.6700",1.6400,0.0853
2016-01-12,"1,938.6800",15.0100,0.7803
2016-01-13,"1,890.2800",-48.4000,-2.4965
2016-01-14,"1,921.8400",31.5599,1.6696
2016-01-15,"1,880.2900",-41.5499,-2.1620
2016-01-19,"1,881.3300",1.0399,0.0553
2016-01-20,"1,859.3300",-22.0000,-1.1694
2016-01-21,"1,868.9900",9.6600,0.5195
2016-01-22,"1,906.9000",37.9100,2.0284
2016-01-25,"1,877.0800",-29.8201,-1.5638
2016-01-26,"1,903.6300",26.5500,1.4144
2016-01-27,"1,882.9500",-20.6801,-1.0864
2016-01-28,"1,893.3600",10.4100,0.5529
2016-01-29,"1,940.2400",46.8800,2.4760
2016-02-01,"1,939.3800",-0.8600,-0.0443
2016-02-02,"1,903.0300",-36.3500,-1.8743
2016-02-03,"1,912.5300",9.5000,0.4992
2016-02-04,"1,915.4500",2.9199,0.1527
2016-02-05,"1,880.0200",-35.4299,-1.8497
2016-02-08,"1,853.4400",-26.5801,-1.4138
2016-02-09,"1,852.2100",-1.2300,-0.0664
2016-02-10,"1,851.8600",-0.3500,-0.0189
2016-02-11,"1,829.0800",-22.7800,-1.2301
2016-02-12,"1,864.7800",35.7001,1.9518
2016-02-16,"1,895.5800",30.7999,1.6517
2016-02-17,"1,926.8200",31.2400,1.6480
